= | Delimitador | 57  | 22 
linha | Identificador[1] | 57  | 24 
. | Delimitador | 57  | 29 
replace | Identificador[2] | 57  | 30 
( | Delimitador | 57  | 37 
op | Identificador[3] | 57  | 38 
, | Delimitador | 57  | 40 
' | Delimitador | 57  | 41 
' | Delimitador | 57  | 42 
) | Delimitador | 57  | 43 
data | Identificador[0] | 58  | 20 
+ | Operador | 58  | 25 
= | Delimitador | 58  | 26 
s | Identificador[1] | 58  | 28 
+ | Operador | 58  | 30 
' | Delimitador | 58  | 32 
| | Operador | 58  | 34 
Identificador | Identificador[2] | 58  | 36 
[ | Delimitador | 58  | 49 
' | Delimitador | 58  | 50 
+ | Operador | 58  | 51 
str | Identificador[3] | 58  | 52 
( | Delimitador | 58  | 55 
contId | Identificador[4] | 58  | 56 
) | Delimitador | 58  | 62 
+ | Operador | 58  | 63 
' | Delimitador | 58  | 64 
] | Delimitador | 58  | 65 
| | Operador | 58  | 67 
' | Delimitador | 58  | 69 
+ | Operador | 58  | 72 
numLinha | Identificador[5] | 58  | 74 
+ | Operador | 58  | 84 
' | Delimitador | 58  | 85 
| | Operador | 58  | 88 
' | Delimitador | 58  | 90 
+ | Operador | 58  | 91 
str | Identificador[6] | 58  | 93 
( | Delimitador | 58  | 96 
coluna | Identificador[7] | 58  | 97 
) | Delimitador | 58  | 103 
+ | Operador | 58  | 105 
' | Delimitador | 58  | 106 
\n | Identificador[8] | 58  | 108 
' | Delimitador | 58  | 110 
data | Identificador[0] | 59  | 20 
+ | Operador | 59  | 25 
= | Delimitador | 59  | 26 
condicao | Identificador[1] | 59  | 28 
[ | Delimitador | 59  | 36 
0 | Identificador[2] | 59  | 37 
] | Delimitador | 59  | 38 
+ | Operador | 59  | 40 
' | Delimitador | 59  | 42 
| | Operador | 59  | 44 
Operador | Identificador[3] | 59  | 46 
| | Operador | 59  | 55 
' | Delimitador | 59  | 57 
+ | Operador | 59  | 60 
numLinha | Identificador[4] | 59  | 62 
+ | Operador | 59  | 71 
' | Delimitador | 59  | 72 
| | Operador | 59  | 75 
' | Delimitador | 59  | 77 
+ | Operador | 59  | 78 
str | Identificador[5] | 59  | 80 
( | Delimitador | 59  | 83 
coluna | Identificador[6] | 59  | 84 
+ | Operador | 59  | 91 
len | Palavra Reservada | 59  | 93 
( | Delimitador | 59  | 94 
s | Identificador[7] | 59  | 97 
) | Delimitador | 59  | 98 
) | Delimitador | 59  | 99 
+ | Operador | 59  | 101 
' | Delimitador | 59  | 102 
\n | Identificador[8] | 59  | 104 
' | Delimitador | 59  | 106 
linha | Identificador[0] | 60  | 20 
= | Delimitador | 60  | 26 
' | Delimitador | 60  | 28 
' | Delimitador | 60  | 29 
coluna | Identificador[0] | 61  | 20 
= | Delimitador | 61  | 27 
i | Identificador[1] | 61  | 29 
+ | Operador | 61  | 31 
1 | Identificador[2] | 61 
contId | Identificador[0] | 62  | 20 
+ | Operador | 62  | 27 
= | Delimitador | 62  | 28 
1 | Identificador[1] | 62 
elif | Palavra Reservada | 63  | 12 
( | Delimitador | 63  | 14 
condicao | Identificador[0] | 63  | 17 
[ | Delimitador | 63  | 25 
1 | Identificador[1] | 63  | 26 
] | Delimitador | 63  | 27 
= | Delimitador | 63  | 29 
= | Delimitador | 63  | 30 
' | Delimitador | 63  | 32 
3 | Identificador[2] | 63  | 33 
' | Delimitador | 63  | 34 
) | Delimitador | 63  | 35 
: | Delimitador | 63  | 36 
if | Palavra Reservada | 64  | 16 
( | Delimitador | 64  | 16 
len | Palavra Reservada | 64  | 19 
( | Delimitador | 64  | 20 
linha | Identificador[0] | 64  | 23 
) | Delimitador | 64  | 28 
= | Delimitador | 64  | 30 
= | Delimitador | 64  | 31 
1 | Identificador[1] | 64  | 33 
) | Delimitador | 64  | 34 
: | Delimitador | 64  | 35 
data | Identificador[0] | 65  | 20 
+ | Operador | 65  | 25 
= | Delimitador | 65  | 26 
condicao | Identificador[1] | 65  | 28 
[ | Delimitador | 65  | 36 
0 | Identificador[2] | 65  | 37 
] | Delimitador | 65  | 38 
+ | Operador | 65  | 40 
' | Delimitador | 65  | 42 
| | Operador | 65  | 44 
Delimitador | Identificador[3] | 65  | 46 
| | Operador | 65  | 58 
' | Delimitador | 65  | 60 
+ | Operador | 65  | 63 
numLinha | Identificador[4] | 65  | 65 
+ | Operador | 65  | 75 
' | Delimitador | 65  | 76 
| | Operador | 65  | 79 
' | Delimitador | 65  | 81 
+ | Operador | 65  | 82 
str | Identificador[5] | 65  | 84 
( | Delimitador | 65  | 87 
coluna | Identificador[6] | 65  | 88 
) | Delimitador | 65  | 94 
+ | Operador | 65  | 96 
' | Delimitador | 65  | 97 
\n | Identificador[7] | 65  | 99 
' | Delimitador | 65  | 101 
linha | Identificador[0] | 66  | 20 
= | Delimitador | 66  | 26 
' | Delimitador | 66  | 28 
' | Delimitador | 66  | 29 
coluna | Identificador[0] | 67  | 20 
= | Delimitador | 67  | 27 
i | Identificador[1] | 67  | 29 
+ | Operador | 67  | 31 
1 | Identificador[2] | 67 
else | Palavra Reservada | 68  | 16 
: | Delimitador | 68  | 18 
